city,locality,pincode,property_type,area,carpet_area,bhk,bedrooms,bathrooms,balconies,floor,total_floors,property_age,parking,furnished,property_condition,latitude,longitude,amenities_count,has_parking,has_lift,has_security,has_gym,has_swimming_pool,has_garden,has_clubhouse,has_power_backup,has_cctv,has_internet,has_water_supply,has_ac,price
Bengaluru,Indiranagar,560019,Independent House,1034,883,2,2,2,1,0,3,3,1,Unfurnished,New,12.977294,77.645982,5,1,0,0,0,0,1,0,1,0,0,1,1,20160000
Mumbai,Powai,400042,Apartment,909,775,2,2,2,2,2,18,3,3,Semi-Furnished,Good,19.115727,72.918634,8,0,1,0,0,0,1,1,1,1,1,1,1,22250000
Delhi NCR,Sohna Road (Gurugram),110043,Apartment,869,741,2,2,2,1,9,10,0,1,Fully Furnished,New,28.39934,77.038293,8,1,1,1,0,1,1,0,1,1,0,0,1,9760000
Bengaluru,Hebbal,560009,Apartment,991,812,2,2,2,0,19,28,1,3,Semi-Furnished,New,13.020494,77.583201,6,1,1,1,0,0,1,0,0,1,0,0,1,11990000
Hyderabad,Manikonda,500002,Independent House,1144,942,3,3,3,1,0,2,2,2,Fully Furnished,New,17.406714,78.382136,4,1,1,0,0,1,0,0,1,0,0,0,0,11590000
Bengaluru,Hebbal,560021,Apartment,2654,2303,4,4,4,2,2,4,18,0,Semi-Furnished,Good,13.033994,77.59754,9,0,1,1,1,1,1,0,1,1,0,1,1,21550000
Pune,Kharadi,411032,Apartment,856,696,2,2,1,2,2,14,3,1,Unfurnished,New,18.552487,73.925892,8,1,1,0,0,1,1,0,1,1,0,1,1,8580000
Delhi NCR,Sector 62 (Noida),110008,Apartment,1248,1081,3,3,3,3,15,28,0,1,Semi-Furnished,New,28.624666,77.357186,10,1,1,1,1,1,1,1,1,0,1,1,0,13920000
Nagpur,Pratap Nagar,440039,Independent House,2094,1735,4,4,4,2,0,2,1,1,Unfurnished,New,21.112538,79.05558,4,0,1,0,0,0,0,0,1,0,1,1,0,16660000
Hyderabad,Gachibowli,500022,Independent House,601,478,1,1,2,0,0,3,18,0,Unfurnished,Average,17.424423,78.338275,6,1,1,1,0,1,0,0,1,0,0,0,1,5050000
